C00062 C02163
C05749 C05748
CE4847 CE4846
CE7059 C00189
CN0017 CN0018
C00547 C05589
C00468 C02538
C00243 C00124
CE2153 C00780
CE5740 C06135
CE5349 CE2446
C05345 C00231
CE6259 CE1261
CE4987 CE5944
C14875 C14871
C14875 C14874
CE2597 CE2596
C14874 C11088
C00157 CE6321
C00267 C00721
C04554 CE5133
C07343 CE5127
C03028 C00068
CE2431 CE0693
C03881 C02593
C00140 C00461
CE2174 C00067
CE2180 CE2189
CE4712 C00951
C00030 C01528
C05454 C05453
C06010 C05125
C00024 C05261
C00346 C01120
C05476 C05478
C00024 C05267
C14875 C14876
C05749 C05750
C00024 C05269
CE6321 C00157
C00024 C05263
C00024 C05265
C03917 CE2209
C00328 C00108
C01233 C00093
C01005 C00065
C01642 C02412
C05454 C05446
C03263 C01079
C00585 C01167
CE1554 C00041
C00655 C00385
CE5986 CE7047
C00342 C00361
C00407 C03127
C04043 C06350
C05476 C05475
CE2211 CE5072
C01885 C00116
C00213 C01026
CE2442 CE2433
C03680 C00785
C01607 C02060
C00547 C05577
C00019 C04833
CE6252 C00366
C00015 C00105
C01061 C01036
C06102 C06103
C11149 C14867
C00010 C02593
C00110 C00017
C00159 C00275
C05864 G10595
C01345 C06196
CE4814 CE4812
CE4814 CE4813
C00986 C00047
C00052 C00243
C11150 C06899
C00301 C01201
CE2442 CE2441
CE2180 CE5248
CE4790 CE5120
C00978 CE5859
C01256 C01293
G00056 C04922
CE6417 C00107
C01290 C04845
CE5122 CE5123
C01245 C01272
CE2848 CE2847
CE2180 CE5255
C05576 C05577
CE6321 C00187
C01326 C01755
CE2431 CE2435
C01172 C00668
C00157 CE6364
C00490 C00531
CE5255 CE5251
CE4803 CE4801
C00049 C00036
C01645 C02047
C00681 C00416
C00422 C00165
CE2859 CE2858
C00159 C00206
C04090 C00496
C01260 C00002
C00022 C01136
C04092 C03239
C00342 C00343
G00121 G00122
C05270 C05267
C02727 C05548
C04073 C04196
CE2726 CE2727
CE4804 C00630
C03245 C00003
C11455 C05108
C00049 C00025
C14786 C14791
CE3811 CE3810
CE5924 CE5533
C00075 C00105
CE4969 C00037
C05587 C05581
C04185 CE1562
CE5739 CE5738
C05270 C05271
CE3811 CE3809
CE4987 CE5969
C05138 CE1352
CE2420 CE0693
C00043 C01288
CE5244 CE5251
CE2038 CE5934
C14830 C00325
C00110 G00149
C00019 C03542
C00085 C00275
C05576 C05594
C00399 C05805
C00416 CE5702
CE1447 C05963
C14775 C14771
C05763 C04633
CE5155 CE5154
C04554 C05445
G00171 G00009
C00064 C00144
C00822 CE5026
C01997 C01429
C00152 C03402
C04549 C01194
C01213 C00683
C00357 C04256
CE5255 CE2180
CE5160 CE5161
C05977 C03968
C03715 C03968
C01144 C00877
C14791 C14786
C00064 C00152
C01977 C01978
C02764 C00868
G00171 G00010
C00718 C00369
C05864 G10526
CE7111 CE7085
CE2253 CE2249
C00794 C00267
C04230 C00670
CE2242 CE2246
C02218 C00065
CE6508 CE7085
CE5155 CE5156
C00685 C01271
G00061 C04922
C00364 C00365
C03424 G00155
C00037 C00101
C00267 C00794
C00328 C02700
C05698 C05699
